Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Team Lease Serv.,539658,TEAMLEASE,INE985S01024,Commercial Services & Supplies,Diversified Commercial Services,1155.40,,,,6.18,,0.00,,13.20,14.04,15.11,15.52,13.19,14.28,13.68,1.59,1.62,23264.00,0.00,20.82,17.10,20.77,6.12,5.80,36.44,49.08,44.91,49.44,7418.13,2781.82,3797.88,,-1.34,-30.90,26.03,1,1937.48,0.13
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1387.50,4.32,4.68,2.82,5.21,65.07,3695.56,93.58,17.53,20.29,21.20,22.30,17.16,-5.23,17.82,14.14,14.79,761383.00,111.49,97.56,82.60,75.02,9.98,8.39,35.10,19.57,30.23,24.16,145721.57,54618.95,62575.60,60500.88,25.21,-10.01,14.06,1,135952.97,0.07
TechD Cybersec.,,TECHD,INE0Y5H01014,IT - Services,IT Enabled Services,509.00,,,,,,0.00,,82.62,85.85,85.85,85.85,,,,32.72,,,0.00,149.04,80.22,,,35.05,41.77,41.77,41.77,41.77,,,,,1.19,,,0,380.72,0.00
Techera Enginee.,,TECHERA,INE0JQS01019,Aerospace & Defense,Aerospace & Defense,188.90,1.70,,,,,0.00,,14.30,1.65,1.65,1.65,,,,13.34,,1237.00,0.00,119.46,177.52,,,5.70,75.85,75.85,75.85,75.85,,,,,54.01,,,0,312.07,0.48
Techno Elec.Engg,542141,TECHNOE,INE285K01026,Construction,Civil Construction,1035.00,44.88,0.35,-0.63,,4.60,75.31,13.03,13.75,14.24,14.98,16.41,12.32,3.26,,15.60,,98674.00,29.12,213.34,190.17,240.47,8.86,8.76,45.19,27.07,31.62,25.97,2725.25,2618.00,,,157.86,6.84,-2.90,1,12037.03,0.02
Tega Inds.,543413,TEGA,INE011K01018,Industrial Manufacturing,Industrial Products,1595.80,2.09,2.37,2.41,1.94,77.92,7.98,,19.45,20.71,18.16,14.62,17.58,-0.22,14.74,21.39,18.57,53534.00,6.91,106.05,114.06,97.43,11.94,11.41,52.33,40.41,40.41,40.41,3118.43,,,,98.33,-0.98,6.96,1,11988.86,0.21
Tenneco Clean,544612,TENNIND,INE19RI01016,Auto Components,Auto Components & Equipments,534.00,,,,,0.76,,,54.52,54.52,54.52,54.52,,,,,,,56.35,,43.75,,,,37.93,37.93,37.93,37.93,,,,,-8.04,,,1,21552.48,0.02
Tera Software,533982,TERASOFT,INE482B01010,IT - Services,IT Enabled Services,320.00,0.09,0.63,7.94,21.60,0.00,0.00,0.00,4.88,5.56,7.19,9.08,1.06,5.44,2.76,4.10,6.36,16827.00,0.00,526.80,451.79,228.42,-0.01,0.04,24.31,18.40,35.29,23.80,55.80,16.83,46.48,40.04,236.07,0.14,0.00,1,400.38,0.22
Texmaco Infrast.,505400,TEXINFRA,INE435C01024,Commercial Services & Supplies,Diversified Commercial Services,85.43,74.43,1.10,0.69,,,1.85,,0.57,0.58,0.86,1.23,0.45,11.44,1.00,-22.76,2.79,41557.00,23.58,32.66,8.57,66.86,0.35,0.16,310.86,67.24,285.00,239.09,729.52,394.39,777.94,446.63,-515.96,0.51,2.27,1,1088.60,0.02
Texmaco Rail,533326,TEXRAIL,INE621L01012,Industrial Manufacturing,Industrial Products,86.50,3.43,2.92,3.67,2.87,8.00,12.10,6.07,9.72,8.40,8.54,7.61,4.60,-1.77,3.91,7.26,7.17,360042.00,19.82,114.65,106.15,128.43,1.72,2.50,58.19,47.11,53.02,32.82,1342.20,609.22,2524.60,4322.19,142.87,5.28,-0.82,1,3519.35,0.29
TGV Sraac,507753,,INE284B01028,Chemicals & Petrochemicals,Commodity Chemicals,80.41,7.92,5.28,9.33,10.52,2.03,6.43,5.78,17.80,16.75,16.84,15.42,14.54,-2.96,13.36,16.66,16.44,58487.00,10.75,55.57,44.08,29.02,7.90,9.54,11.57,10.84,11.46,8.67,840.12,121.07,477.90,85.33,4.18,-0.79,0.00,1,861.11,0.24
The Anup Enginee,542460,ANUP,INE294Z01018,Industrial Manufacturing,Industrial Products,1529.40,1.82,1.73,,,9.54,,1186.97,16.80,17.68,17.68,17.68,,7.52,,,,96076.00,,158.03,136.55,95.75,,,39.81,19.38,32.30,19.38,786.42,332.48,,,119.32,2.27,5.76,1,3063.62,0.25
The Bombay Burmah,501425,BBTC,INE050A01025,Food Products,Packaged Foods,1448.30,6.99,7.85,8.57,9.94,6.07,30.42,49.52,26.32,23.60,24.04,25.21,-3.08,11.80,0.09,14.35,14.20,39028.00,3.79,9.87,9.57,11.29,5.12,3.01,12.23,16.24,18.99,15.25,6005.97,5110.79,8168.89,3070.31,-39.35,1.60,0.22,1,10105.07,0.39
The Hi-Tech Gear,522073,HITECHGEAR,INE127B01011,Auto Components,Auto Components & Equipments,590.00,4.99,4.54,5.64,,48.28,6.01,37.78,10.70,9.03,9.27,9.78,7.50,22.75,,12.17,,11227.00,17.27,65.39,63.83,46.11,3.10,4.08,30.25,25.79,27.14,24.88,403.23,147.89,747.53,540.52,22.02,0.00,0.00,1,1110.00,0.36
The Peria Karamalai Tea,,PKTEA,INE431F01018,Agricultural Food & other Products,Tea & Coffee,805.00,0.94,1.41,1.22,1.61,0.00,0.31,0.00,0.70,3.40,2.92,2.57,0.66,15.33,0.81,17.59,15.31,3544.00,43.45,23.82,13.88,19.65,0.93,-0.36,72.59,19.10,63.50,18.76,96.81,21.21,91.81,,-16.41,0.00,-0.82,1,249.22,0.21
Thejo Engg.,,THEJO,INE121N01019,Industrial Manufacturing,Industrial Products,1526.80,2.23,1.87,1.48,1.65,17.34,3.01,15.68,23.72,26.12,26.78,23.35,21.86,-8.53,20.35,15.72,14.77,7743.00,7.76,91.77,86.90,121.70,13.32,12.65,46.67,35.28,39.34,36.00,1281.68,156.34,163.18,,79.47,0.79,3.14,1,1656.16,0.12
Themis Medicare,530199,THEMISMED,INE083B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,72.39,2.69,1.59,1.51,1.63,48.23,4.47,43.13,14.66,18.52,15.30,14.49,13.39,-11.93,13.30,17.72,15.91,17773.00,11.36,93.01,159.65,185.55,10.50,8.26,39.41,25.75,24.09,21.19,862.13,220.47,515.64,116.63,115.58,0.03,0.00,1,666.71,0.25
Thomas Cook (I),500413,THOMASCOOK,INE332A01027,Leisure Services,"Tour, Travel Related Services",97.85,1.11,0.78,3.94,7.42,5.64,13.64,8.40,14.33,3.63,3.05,4.65,0.56,409.74,-20.91,2.39,2.61,104120.00,103.50,45.48,33.89,25.33,-0.49,2.88,35.50,48.62,35.50,40.89,3034.01,900.35,4812.60,2614.10,-84.84,6.80,-2.34,1,4602.63,0.22
Thomas Scott,533941,THOMASCOTT,INE480M01011,Textiles & Apparels,Garments & Apparels,258.00,1.37,2.27,4.05,1.88,0.00,0.00,0.00,26.40,19.55,11.78,6.58,15.81,19.45,12.47,11.12,8.15,8076.00,0.00,193.61,131.59,241.65,6.62,10.65,28.41,23.40,22.71,22.71,26.33,1.25,4.92,2.00,171.94,0.00,2.45,1,378.49,0.21
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,350.05,7.44,7.80,6.73,8.37,0.12,102.68,1.52,19.92,27.49,29.00,28.81,19.90,-6.28,19.27,29.95,33.45,56666.00,134.68,57.77,41.83,13.70,16.59,11.40,50.89,46.93,47.29,44.29,4101.28,2623.49,3207.07,,17.09,-5.17,11.84,1,5571.58,0.05
Tilaknagar Inds.,507205,TI,INE133E01013,Beverages,Breweries & Distilleries,418.10,2.61,2.04,1.67,2.47,0.45,7.04,0.77,21.82,16.79,11.22,5.41,,,,13.97,6.53,107022.00,6.17,110.32,106.76,136.07,8.08,13.65,34.51,36.85,36.85,36.85,1057.21,188.95,233.92,247.02,61.93,8.03,4.90,1,10334.19,0.02
Time Technoplast,532856,TIMETECHNO,INE508G01029,Industrial Products,Plastic Products - Industrial,157.50,3.26,2.93,3.84,3.70,11.00,33.76,10.76,15.34,13.33,13.61,13.88,10.85,7.94,11.17,13.77,14.12,122333.00,14.05,86.69,79.03,83.72,6.34,7.66,21.54,14.22,16.34,12.48,1445.10,564.47,3622.02,1022.35,98.50,2.78,7.76,1,7774.75,0.22
Timex Group,500414,,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",275.50,3.43,2.07,2.79,3.16,2.79,0.00,2.73,41.20,24.71,21.03,12.59,,,,7.07,5.24,45011.00,0.00,67.08,43.83,90.85,9.87,17.69,58.91,58.90,58.79,58.44,672.33,176.16,435.60,191.81,62.68,2.00,0.48,1,2781.16,0.11
Tinna Rubber,530475,TINNARUBR,INE015C01016,Industrial Products,Rubber,607.00,4.40,2.73,2.88,4.26,4.41,4.62,6.31,28.08,22.92,17.80,13.43,19.23,46.25,12.98,15.18,11.72,39815.00,18.35,52.45,33.12,68.09,10.51,14.40,33.82,26.15,30.13,30.63,261.00,16.33,51.09,56.28,10.92,-0.30,5.22,1,1093.54,0.38
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,499.40,,,0.00,0.00,66.52,35.49,,99.95,90.08,68.00,50.47,59.66,40.99,48.38,63.04,44.57,73580.00,40.89,48.24,37.23,72.77,43.75,46.56,46.24,33.23,40.24,33.54,2530.19,121.43,119.14,57.14,7.75,7.24,4.97,1,6383.91,0.01
Tirupati Forge,,TIRUPATIFL,INE319Y01024,Industrial Products,Castings & Forgings,44.12,3.32,2.46,6.61,4.12,65.89,0.04,57.82,20.82,18.73,19.90,19.45,15.34,42.21,15.55,12.81,12.85,69737.00,0.00,66.43,57.16,36.49,10.15,11.72,39.70,25.27,36.62,35.26,104.37,27.78,30.36,,87.16,-0.64,0.00,1,553.82,0.21
Titagarh Rail,532966,TITAGARH,INE615H01020,Industrial Manufacturing,Railway Wagons,607.85,2.43,2.70,2.02,1.24,4.14,6.04,1.17,19.70,14.61,11.63,8.20,7.66,35.34,4.54,10.04,7.35,515638.00,4.41,57.85,50.14,52.14,4.54,7.85,49.26,49.62,45.82,47.76,1211.85,287.86,1267.04,1155.26,46.42,5.39,5.82,1,8186.17,0.25
Titan Biotech,524717,,INE150C01029,Chemicals & Petrochemicals,Specialty Chemicals,390.00,2.03,2.36,1.86,3.08,22.36,1.45,17.64,23.02,31.95,27.74,23.12,23.93,-4.25,22.41,22.83,19.93,16038.00,6.77,48.33,46.22,54.49,21.48,16.83,18.12,11.44,12.66,9.50,216.45,35.23,48.72,22.68,116.65,0.00,0.03,1,1611.43,0.05
Tolins Tyres,544254,TOLINS,INE0RWQ01014,Auto Components,Tyres & Rubber Products,96.00,,,,,,,,21.30,21.30,21.30,21.30,,,,,,50980.00,,,115.47,,,,15.44,15.44,15.44,15.44,,,,,165.30,,,1,379.29,0.05
TPL Plastech,526582,TPLPLASTEH,INE413G01022,Industrial Products,Packaging,59.29,3.40,2.55,3.31,6.25,4.89,4.91,0.00,18.69,17.58,17.15,18.39,14.17,5.86,15.06,11.50,11.67,33745.00,31.23,80.20,66.41,78.01,7.27,8.48,25.67,21.18,22.99,19.85,183.22,48.98,296.09,111.15,71.24,0.45,0.00,1,462.47,0.14
Transpek Inds.,506687,,INE687A01016,Chemicals & Petrochemicals,Commodity Chemicals,986.00,6.85,4.31,6.64,4.38,74.09,10.23,77.63,13.01,12.85,16.43,17.94,12.51,-19.24,13.10,16.16,16.96,13892.00,20.55,60.42,55.87,57.91,6.79,6.70,17.14,16.18,16.78,15.07,1089.47,686.11,688.76,141.63,40.16,-1.82,-0.35,1,550.74,0.05
Transport Corp.,532349,TCI,INE688A01022,Transport Services,Logistics Solution Provider,918.00,1.06,1.18,21.77,17.25,2.98,44.04,1.25,20.93,20.00,18.76,17.07,18.88,4.65,18.04,10.75,9.82,51797.00,15.83,56.93,55.76,65.44,14.71,15.90,19.97,18.89,19.30,18.37,4632.71,1444.72,2071.26,1176.00,50.68,-0.20,1.11,1,7045.08,0.11
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,483.85,4.68,4.25,,,,5.87,,32.34,29.75,29.75,29.75,,-1.11,,12.81,,142684.00,3.75,102.23,85.71,93.07,4.48,5.06,26.18,26.18,26.18,26.18,,,,,43.34,,,1,6495.98,0.39
Transteel Seatin,,TRANSTEEL,INE0NVI01020,Consumer Durables,"Furniture, Home Furnishing",142.30,0.94,,,,,0.00,,27.85,26.20,26.20,26.20,,,,23.42,,1591.00,0.00,55.68,71.14,,,11.17,15.86,15.86,15.86,15.86,,,,,179.25,,,0,314.37,0.29
Transworld Shipp,520151,TRANSWORLD,INE757B01015,Transport Services,Shipping,132.60,0.00,0.00,0.00,10.21,78.00,3.29,41.45,7.24,12.30,10.15,11.56,10.66,5.53,12.16,31.26,19.99,16656.00,3.80,7.60,7.24,92.36,8.86,4.34,14.90,9.84,7.38,8.18,819.67,84.87,1110.39,887.96,0.21,-0.55,0.00,1,291.19,0.38
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1094.85,13.88,6.34,,,,50.79,,41.69,24.04,24.04,24.04,,14.83,,28.36,,,26.75,44.12,29.80,30.89,11.14,21.49,43.84,43.84,43.84,43.84,,,,,-64.24,,,1,14416.94,0.24
Trejhara Solutio,542233,TREJHARA,INE00CA01015,IT - Software,Computers - Software & Consulting,162.00,,,,,100.00,0.12,100.00,1.94,2.38,2.75,2.75,-0.74,2.36,,14.88,,10103.00,0.00,157.02,167.50,165.81,-1.38,-3.55,71.32,7.89,18.85,7.89,80.47,6.85,,,558.47,-0.61,-0.22,1,380.79,0.04
Trident Techlabs,,TECHLABS,INE0QD201012,IT - Software,Computers - Software & Consulting,184.00,1.49,,,,,0.00,,26.34,22.00,22.00,22.00,,,,19.95,,1400.00,0.00,495.71,273.53,,,10.90,50.00,50.00,50.00,50.00,,,,,175.01,,,0,317.97,0.26
Triven.Engg.Ind.,532356,TRIVENI,INE256C01024,Agricultural Food & other Products,Sugar,342.50,1.53,1.89,1.21,1.06,1.42,74.53,0.34,13.65,16.21,16.13,14.99,18.10,-21.37,18.31,11.46,11.41,113941.00,19.44,22.69,27.64,28.69,8.64,8.21,26.00,14.06,17.95,16.49,7522.21,902.52,1048.55,474.62,79.53,1.67,0.41,1,7497.25,0.25
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,439.55,2.75,2.10,2.34,2.77,59.16,68.69,46.36,36.13,30.72,31.34,36.22,23.77,4.81,24.97,20.21,20.36,149553.00,26.04,43.46,47.74,55.94,13.89,15.70,58.10,39.95,54.46,49.29,6535.62,1891.34,3316.22,4284.69,-13.24,-0.84,-0.87,1,13972.94,0.03
True Colors,544531,,INE1LDV01015,Industrial Manufacturing,Industrial Products,131.00,,,,,,,,38.28,38.28,38.28,38.28,,,,,,,0.00,260.43,67.06,,,14.59,11.90,11.90,11.90,11.90,,,,,11.96,,,0,322.96,0.37
Tsf Investments,,TSFINV,INE202Z01029,Finance,Investment Company,351.05,,,,,25.23,91.68,,3.18,2.23,2.06,2.06,7.44,16.45,,64.47,,39448.00,33.67,21.77,16.38,30.38,7.31,9.04,11.90,12.89,12.54,12.67,1539.18,819.85,6126.53,,45.25,2.93,-0.79,1,7796.96,0.05
TTK Healthcare,507747,TTKHLTCARE,INE910C01018,Diversified,Diversified,815.00,3.99,3.14,5.10,5.98,7.08,13.00,6.67,9.33,8.24,9.23,12.06,23.89,6.91,22.62,4.32,5.51,15780.00,14.00,32.64,43.17,43.39,20.25,28.35,29.71,32.94,31.82,32.90,1173.10,449.34,1486.37,722.24,33.83,-0.43,-1.10,1,1151.63,0.02
TTK Prestige,517506,TTKPRESTIG,INE690A01028,Consumer Durables,Household Appliances,482.55,3.14,2.82,2.73,,3.87,80.18,3.51,14.56,17.80,18.95,19.86,13.77,-13.95,14.53,12.78,12.92,87425.00,47.39,44.20,40.80,48.97,9.84,7.88,47.81,46.56,46.19,45.89,11459.91,6742.34,7142.61,4017.77,65.14,-1.13,1.58,1,6608.59,0.10
U P Hotels,509960,,INE726E01014,Leisure Services,Hotels & Resorts,1479.00,9.63,4.83,10.21,8.70,0.58,0.00,0.30,27.84,16.30,13.65,12.14,11.92,35.86,10.18,24.11,17.62,1268.00,0.00,19.99,17.18,25.82,10.20,17.23,27.54,27.34,27.34,27.34,238.14,160.76,160.76,153.14,-8.08,0.00,0.00,1,798.66,0.00
Uday Jewellery,539518,,INE551B01012,Consumer Durables,"Gems, Jewellery And Watches",123.10,3.02,3.45,3.70,4.74,21.35,0.00,13.39,14.36,13.64,14.23,13.28,12.42,-6.57,12.13,6.80,6.82,5356.00,0.00,102.86,93.54,122.58,8.69,8.94,31.36,33.43,33.40,35.22,209.54,188.51,68.89,,131.73,0.00,0.00,1,413.69,0.20
UFO Moviez,539141,UFO,INE527H01019,Entertainment,"Film Production, Distribution & Exhibition",61.00,5.13,3.47,7.93,0.13,0.40,0.00,2.02,5.48,-8.70,-1.99,4.43,-4.26,-17.53,2.30,1.12,19.21,49880.00,0.00,78.20,82.19,95.35,-7.05,0.79,30.25,18.09,30.25,14.60,386.88,218.02,1057.20,,-19.61,-0.49,-0.46,1,236.77,0.30
Ujaas Energy,533644,UEL,INE899L01030,Power,Power Generation,140.50,0.71,0.75,1.49,2.67,0.00,0.00,0.00,7.34,1.96,1.57,6.34,-3.13,28.84,2.73,-9.32,11.80,53245.00,0.00,643.31,571.44,715.51,0.83,6.76,305.17,59.80,305.17,57.60,292.76,163.84,1058.40,1185.66,-207.00,-0.01,0.00,1,1874.24,0.27
Ultramarine Pig.,506685,,INE405A01021,Chemicals & Petrochemicals,Dyes And Pigments,399.90,5.63,4.45,,,23.77,15.18,25.59,10.26,12.11,12.11,12.11,,-16.73,,18.24,,18931.00,23.26,29.33,36.41,46.78,7.82,6.63,18.27,17.13,17.61,17.13,949.44,413.03,802.85,189.51,72.93,0.37,1.26,1,1167.71,0.08
Unichem Labs.,506690,UNICHEMLAB,INE351A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,306.05,0.87,0.96,1.70,2.26,93.24,16.90,90.96,0.48,0.80,-0.12,15.10,-0.87,29.72,12.05,6.06,2.65,21472.00,-4.64,142.41,141.99,129.02,-0.20,-0.94,30.38,25.55,62.56,64.97,1829.85,1097.27,2006.71,1845.33,179.72,-0.57,2.52,1,2154.76,0.21
Unicommerce,544227,UNIECOM,INE00U401027,IT - Software,Software Products,88.65,,,,,1.25,,1.22,31.37,31.37,31.37,31.37,,,,,,111460.00,,,41.88,,,,69.51,69.51,69.51,69.51,,,,,-26.34,,,1,996.25,0.06
Unified Data,544406,,INE1ABX01018,IT - Services,IT Enabled Services,300.50,,,,,,,,50.89,50.89,50.89,50.89,,,,,,,0.00,11.38,24.03,,,27.01,23.95,23.95,23.95,23.95,,,,,-33.12,,,0,603.71,0.00
Unihealth Hosp,,UNIHEALTH,INE0PRF01011,Healthcare Services,Hospital,409.00,5.37,5.87,,,,0.00,,19.90,18.86,18.86,18.86,,23.67,,32.10,,984.00,0.00,180.27,269.01,206.06,9.72,11.38,,,,,,,,,204.36,,,0,642.13,0.14
Unimech Aero.,544322,UNIMECH,INE0U3I01011,Aerospace & Defense,Aerospace & Defense,765.00,,,,,91.06,,,49.90,49.90,49.90,49.90,,,,,,120897.00,0.00,75.51,96.34,,,29.80,63.22,63.22,63.22,63.22,,,,,77.06,,,1,3890.54,0.16
Uniparts India,543689,UNIPARTS,INE244O01017,Auto Components,Auto Components & Equipments,448.75,1.12,1.10,,,,49.37,62.31,20.73,21.89,20.07,20.07,17.97,-5.08,,18.44,,84691.00,51.59,57.76,42.30,49.42,13.14,12.73,17.28,16.83,16.83,16.83,,,,,131.56,-5.04,-4.38,1,2025.80,0.13
Uniphos Enter.,500429,UNIENTER,INE037A01022,Chemicals & Petrochemicals,Trading - Chemicals,100.00,,,,,0.00,30.25,0.00,0.93,1.14,1.08,1.36,1.10,-58.84,1.11,-9.65,,13482.00,486.63,0.00,3.46,0.00,1.11,0.88,30.32,29.44,28.20,26.43,928.09,271.23,575.84,198.21,0.28,0.28,0.00,1,695.50,0.00
United Breweries,532478,UBL,INE686F01025,Beverages,Breweries & Distilleries,1548.00,1.23,0.77,1.46,1.48,2.89,203.59,1.81,12.93,11.42,14.61,15.58,10.31,-3.34,10.93,9.33,11.93,68483.00,63.19,78.45,96.53,75.72,5.16,5.85,118.68,109.22,118.57,115.55,39384.46,24294.86,25061.64,26448.44,53.74,-1.44,3.54,1,40929.94,0.18
United Drilling,522014,UNIDT,INE961D01019,Industrial Manufacturing,Industrial Products,151.80,0.89,2.46,2.47,0.55,3.95,3.90,98.25,6.64,14.40,18.32,17.07,13.24,-28.32,13.48,23.33,26.16,15668.00,33.41,90.77,150.45,40.44,9.27,3.61,39.26,19.27,28.87,20.60,996.98,211.96,257.27,162.52,441.16,0.11,0.01,1,308.22,0.11
United Nilgiri,,UNITEDTEA,INE458F01011,Agricultural Food & other Products,Tea & Coffee,510.45,2.22,2.24,3.19,4.31,52.85,1.48,52.79,9.41,8.73,9.29,11.48,7.50,3.96,8.34,16.88,19.13,5544.00,9.22,39.80,35.83,41.83,6.68,7.26,11.50,13.80,13.01,12.16,168.91,96.38,170.78,96.91,54.64,0.00,-3.57,1,255.05,0.00
United Spirits,532432,UNITDSPR,INE854D01024,Beverages,Breweries & Distilleries,1281.95,1.64,1.49,1.57,2.58,1.72,304.50,2.75,24.81,22.64,22.14,20.26,18.96,1.79,19.11,16.01,14.31,257769.00,33.78,89.20,95.12,89.38,10.20,11.95,62.86,72.00,64.19,66.17,64550.95,35212.91,45480.07,53147.88,50.01,-1.85,3.28,1,93242.75,0.05
Univastu India,,UNIVASTU,INE562X01013,Construction,Civil Construction,62.00,,,1.74,,,0.00,,23.02,23.28,23.40,24.94,18.41,-4.59,18.87,19.88,15.65,4897.00,0.00,173.43,43.72,42.76,7.21,7.60,24.49,16.48,19.31,16.59,96.50,41.43,42.57,,89.24,0.00,0.00,1,223.12,0.48
Universus Photo,542933,UNIVPHOTO,INE03V001013,Consumer Durables,Consumer Electronics,454.65,3.86,4.96,,,829.15,2.19,4.47,-5.82,7.91,7.88,7.88,,4.32,,-138.02,,28327.00,-8.21,16.96,18.12,14.74,5.80,-6.52,3.30,3.41,3.33,3.41,601.08,57.63,,,1337.63,0.00,0.00,1,497.69,0.00
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1028.60,6.10,5.98,7.71,10.26,18.22,79.18,18.89,18.96,16.12,15.92,17.05,15.69,13.00,16.41,11.13,11.18,190984.00,13.32,60.44,54.67,50.64,7.81,9.51,59.10,49.84,63.85,57.81,26626.49,6503.85,9577.51,933.70,15.67,0.95,1.65,1,59393.65,0.46
Updater Services,543996,UDS,INE851I01011,Commercial Services & Supplies,Diversified Commercial Services,132.00,7.29,5.66,,,1.34,0.00,,14.01,16.57,16.57,16.57,,-4.49,,5.48,,43911.00,0.00,85.53,76.92,80.59,6.54,5.28,17.42,17.42,17.42,17.42,,,,,21.00,,,1,883.79,0.05
Urban Company,544515,URBANCO,INE0CAZ01013,Retailing,E-Retail/ E-Commerce,110.60,4.16,3.47,,,,0.00,,-7.95,-23.90,-23.90,-23.90,,20.72,,-41.13,,,0.00,5.66,7.82,1.57,-17.72,-3.81,33.48,33.48,33.48,33.48,,,,,-20.79,,,1,16171.72,0.06
Usha Martin,517146,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,387.00,2.20,1.97,1.75,1.67,50.83,62.60,49.31,20.69,18.49,13.95,9.78,18.23,-17.18,6.22,16.11,10.62,150403.00,21.36,56.23,57.43,50.57,10.53,12.27,26.04,19.10,22.98,18.71,4098.78,487.59,557.68,700.91,106.15,5.79,13.28,1,11793.50,0.09
UTI AMC,543238,UTIAMC,INE094J01016,Capital Markets,Asset Management Company,917.00,,,,,1.32,394.78,0.73,21.05,19.55,19.24,20.58,14.74,7.19,15.14,57.70,53.51,180656.00,86.47,13.46,12.33,10.63,13.55,14.62,21.30,22.70,22.67,22.70,12626.35,,,,-43.04,1.01,0.01,1,11785.31,0.00
Uttam Sug.Mills,532729,UTTAMSUGAR,INE786F01031,Agricultural Food & other Products,Sugar,222.20,1.74,1.46,1.03,1.43,0.00,7.25,0.02,16.26,17.65,17.17,16.45,21.14,-8.72,23.52,12.45,12.58,32450.00,8.46,10.96,10.23,11.19,6.32,6.76,10.30,8.64,9.49,9.18,828.55,196.41,374.90,80.47,15.56,-1.27,-0.04,1,847.46,0.29
UVS Hospitality,531652,,INE528C01018,Finance,Non Banking Financial Company (NBFC),78.00,,,,,,,,21.57,21.57,21.57,21.57,,,,,,687.00,,,30.92,,,,30.75,30.75,30.75,30.75,5.11,4.10,4.01,2.06,203.52,0.00,-5.81,1,297.44,0.02
V-Guard Industri,532953,VGUARD,INE951I01027,Consumer Durables,Household Appliances,319.00,3.29,3.37,5.32,5.67,0.14,58.02,0.20,15.90,18.99,21.01,24.63,15.63,-7.09,16.81,8.56,8.82,132003.00,27.60,50.31,42.15,47.32,9.59,8.11,67.92,58.26,59.29,57.25,9312.67,6644.88,9458.51,2740.08,41.49,-0.79,4.38,1,13932.47,0.03
Va Tech Wabag,533269,WABAG,INE956G01038,Other Utilities,Water Supply & Management,1207.00,0.01,0.00,0.24,-0.64,47.96,4.96,50.00,19.66,17.03,15.78,16.39,9.86,12.45,10.12,10.45,9.23,178346.00,2.80,162.39,221.08,226.86,3.63,4.20,27.38,16.33,16.81,14.66,1743.82,450.38,2680.67,4449.48,91.39,3.03,0.87,1,7520.77,0.10
Vaibhav Global,532156,VAIBHAVGBL,INE884A01027,Consumer Durables,"Gems, Jewellery And Watches",199.50,1.84,2.09,1.63,1.50,117.98,80.56,109.32,13.06,19.20,21.93,20.27,17.51,-14.82,17.48,9.79,9.64,143606.00,62.72,30.70,35.03,24.77,11.35,7.02,38.63,26.15,37.76,32.80,6132.54,2491.55,2246.47,2594.75,58.21,-3.07,-4.71,1,3333.03,0.16
Vaidya Sane,,MADHAVBAUG,INE0JR301013,Healthcare Equipment & Supplies,Medical Equipment & Supplies,201.00,,,,,,,,12.95,12.95,12.95,12.95,,,,,,821.00,1.81,,26.87,,,,41.07,41.07,41.07,41.07,205.01,,,,13.74,0.00,0.00,0,211.32,0.01
Valiant Commun.,526775,,INE760B01019,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1032.85,0.55,1.30,1.23,0.76,65.23,0.23,79.89,15.69,6.77,5.01,4.60,5.22,87.69,4.49,16.40,14.04,6672.00,3.97,82.68,89.88,143.74,4.19,10.31,64.27,63.63,63.82,58.89,51.84,13.36,39.17,16.85,191.48,0.85,1.58,1,1181.80,0.03
Valiant Laborato,543998,VALIANTLAB,INE0JWS01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,58.95,,,,,,,,-1.30,-1.30,-1.30,-1.30,,,,,,15692.00,0.00,,128.62,,,,64.58,64.58,64.58,64.58,,,,,110.68,,,1,320.19,0.17
